dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,mistral,llm_only,,0.853298,0.0,-0.853298,0.0,0.871278,0.0,300,300,low_variance
misogynistic,mistral,expert_only,20.0,3.678485,0.193717,1.507771,0.193717,3.850329,0.156938,300,300,low_variance
misogynistic,mistral,expert_only,26.0,3.359241,0.171722,1.561401,0.171722,3.497567,0.147063,300,300,low_variance
misogynistic,mistral,expert_only,33.0,2.489439,0.12639,1.185306,0.12639,2.590527,0.105632,300,300,low_variance
misogynistic,mistral,expert_only,43.0,2.351968,0.120572,1.081881,0.120572,2.446155,0.102953,300,300,low_variance
misogynistic,mistral,expert_only,56.0,1.746882,0.093323,0.662469,0.093323,1.820413,0.077721,300,300,low_variance
misogynistic,mistral,expert_only,72.0,1.569691,0.080375,0.725169,0.080375,1.635394,0.06689,300,300,low_variance
misogynistic,mistral,expert_only,93.0,1.24142,0.067177,0.43277,0.067177,1.29738,0.053237,300,300,low_variance
misogynistic,mistral,expert_only,120.0,1.026337,0.055982,0.336403,0.055982,1.065283,0.042404,300,300,low_variance
misogynistic,mistral,expert_only,155.0,0.917991,0.049232,0.339947,0.049232,0.948919,0.038002,300,300,low_variance
misogynistic,mistral,expert_only,200.0,0.717942,0.038853,0.250149,0.038853,0.748678,0.027755,300,300,low_variance
misogynistic,mistral,dsl,20.0,0.79161,0.029952,-0.59792,0.029952,0.967815,0.021811,300,300,low_variance
misogynistic,mistral,dsl,26.0,0.688837,0.025557,-0.527775,0.025557,0.826659,0.019199,300,300,low_variance
misogynistic,mistral,dsl,33.0,0.648838,0.02032,-0.545084,0.02032,0.729833,0.015916,300,300,low_variance
misogynistic,mistral,dsl,43.0,0.616242,0.018643,-0.524864,0.018643,0.677452,0.015405,300,300,low_variance
misogynistic,mistral,dsl,56.0,0.58512,0.015452,-0.520322,0.015452,0.633053,0.013559,300,300,low_variance
misogynistic,mistral,dsl,72.0,0.590691,0.014105,-0.537805,0.014105,0.626134,0.012746,300,300,low_variance
misogynistic,mistral,dsl,93.0,0.556522,0.012741,-0.5109,0.012741,0.589361,0.011537,300,300,low_variance
misogynistic,mistral,dsl,120.0,0.544003,0.011079,-0.509032,0.011079,0.568405,0.010723,300,300,low_variance
misogynistic,mistral,dsl,155.0,0.541843,0.010004,-0.513388,0.010004,0.558855,0.009756,300,300,low_variance
misogynistic,mistral,dsl,200.0,0.521554,0.008203,-0.501831,0.008203,0.53551,0.008058,300,300,low_variance
misogynistic,mistral,ppi,20.0,7.448434,0.414079,2.010158,0.414079,7.746542,0.40428,300,300,low_variance
misogynistic,mistral,ppi,26.0,4.644454,0.257571,1.29158,0.257571,4.798004,0.236409,300,300,low_variance
misogynistic,mistral,ppi,33.0,4.448378,0.247003,1.218546,0.247003,4.610599,0.229702,300,300,low_variance
misogynistic,mistral,ppi,43.0,3.704241,0.206768,0.946326,0.206768,3.824426,0.18969,300,300,low_variance
misogynistic,mistral,ppi,56.0,2.269686,0.126958,0.562109,0.126958,2.347234,0.108372,300,300,low_variance
misogynistic,mistral,ppi,72.0,2.546656,0.143814,0.529789,0.143814,2.634322,0.127477,300,300,low_variance
misogynistic,mistral,ppi,93.0,2.108995,0.118788,0.463301,0.118788,2.178026,0.105223,300,300,low_variance
misogynistic,mistral,ppi,120.0,1.495872,0.084557,0.304421,0.084557,1.541168,0.069113,300,300,low_variance
misogynistic,mistral,ppi,155.0,1.373572,0.078822,0.151041,0.078822,1.415383,0.065956,300,300,low_variance
misogynistic,mistral,ppi,200.0,0.9499,0.054482,0.108779,0.054482,0.975463,0.039345,300,300,low_variance
